uuid,observed_on_string,observed_on,time_observed_at,num_identification_agreements,num_identification_disagreements,latitude,longitude,positional_accuracy
01b9bf5c-ade4-4711-869a-80b558fb7e02,2008/12/29 3:51 PM PST,2008-12-29,2008-12-29 23:51:00 UTC,9,0,35.6613905093,-121.2551809096,61
f68e1d6f-d483-4aad-9a40-6f82a2dcb10b,2014/12/07 7:33 PM ACDT,2014-12-07,2014-12-07 09:03:00 UTC,9,0,-35.2301187058,136.0744076383,122
1432957c-31bf-4653-90a7-47868ad4ee16,2014/08/30 11:55 PM ACDT,2014-08-30,2014-08-30 14:25:00 UTC,9,0,-35.3273463,136.1183528,2037
1998d4d0-05dd-43e5-985a-cbaba4c9cc30,2012/10/12 11:25 AM ACDT,2012-10-12,2012-10-12 00:55:00 UTC,10,0,-35.3273463,136.1183528,2037
7c389eb3-dba1-41de-9f78-e8432995c61d,2018-06-07,2018-06-07,,8,0,-34.1755912332,22.2988423705,4208
c3b9baba-aaff-4017-8038-e57b26746586,Wed Jun 06 2018 03:37:10 GMT-0500 (CDT),2018-06-06,2018-06-06 08:37:10 UTC,7,0,-34.1505471667,22.1218861667,5
a7a8e716-0f3a-48e5-9f93-3bf2ef784cb9,2018/03/30 9:49 AM PDT,2018-03-30,2018-03-30 16:49:00 UTC,5,1,37.2670327615,-122.4130510076,31
504000ec-f928-4116-b155-19ab3bdcdfef,2018/10/14 5:27 PM PDT,2018-10-14,2018-10-15 00:27:00 UTC,11,0,37.7006743354,-123.0092634562,3458
3c20e215-a5dd-415a-bfe5-44d10158804e,Mon Jul 10 2017 10:39:02 GMT+1000 (GMT+10),2017-07-10,2017-07-10 00:39:02 UTC,8,0,34.4039253029,-119.5511155861,713
0a0040aa-da93-4114-8206-de250a8d6b0a,2019-03-16,2019-03-16,,6,0,-36.511545,174.370761,53
087cc22a-7c75-4c83-b978-18368d64eb11,2014-09-14 10:40:12 am GMT-05:00,2014-09-14,2014-09-14 15:40:12 UTC,10,0,29.1291069277,-118.2812064886,2813
52526287-5a17-4ac3-8449-4146d698dff4,2005/11/11 2:13 PM CST,2005-11-11,2005-11-11 20:13:00 UTC,5,0,-34.5225239415,19.2599487321,9948
4eb01531-dcdb-43d0-b732-08ae3ace4dbc,2014/09/12 11:31 AM CDT,2014-09-12,2014-09-12 16:31:00 UTC,12,0,29.0237578277,-118.2833898129,20953
7084a2c1-0fb0-4b38-97ff-0d645fde932e,2019/05/11 1:43 PM PDT,2019-05-11,2019-05-11 20:43:00 UTC,1,0,36.9737846505,-121.9233120803,31
e76f7b97-4965-49d9-bf02-5cae64374202,2018/06/05 1:42 PM PDT,2018-06-05,2018-06-05 20:42:00 UTC,4,0,36.9740779839,-121.9287515137,244
d61bb8fa-9b19-431f-bde4-e78c55018f3f,2018/06/05 1:38 PM PDT,2018-06-05,2018-06-05 20:38:00 UTC,6,0,36.9735556874,-121.9339559332,15
d1f3c803-2a0c-4620-afd0-b85d67c672e1,Wed May 29 2019 16:28:39 GMT-0700 (PDT),2019-05-29,2019-05-29 23:28:39 UTC,4,0,43.679607804,-124.1865771265,5
5af53e32-c0c3-489b-b954-2a955a72bd4b,Mon Oct 19 2015 03:05:09 GMT-0400 (EDT),2015-10-19,2015-10-19 07:05:09 UTC,3,0,-34.3277589367,18.7267263875,32258
278c2e99-5140-4c71-88da-98bcc40e7c0c,2018-09-29 3:35:50 PM EDT,2018-09-29,2018-09-29 19:35:50 UTC,3,0,41.9188346834,-70.5434009805,33
8767677e-7854-4696-95b0-8729f6f33a10,2019/06/02 8:47 AM PDT,2019-06-02,2019-06-02 15:47:00 UTC,4,1,37.2667039955,-122.4138556704,15
39e11100-ca19-4620-b1fa-f7613fdc1193,2019/06/10 4:34 PM PDT,2019-06-10,2019-06-10 23:34:00 UTC,1,0,36.9754960665,-121.9253028641,31
e4658296-987b-4ecf-8f46-05e80c70088c,2019/06/13 4:32 PM PDT,2019-06-13,2019-06-13 23:32:00 UTC,1,0,36.9770362039,-121.9299038219,60
